timestamp,close,high,low,trade_count,open,volume,vwap,symbol,ret_1,sma_20,ema_20,rsi_14,volume_z20,date
2024-10-01 04:00:00+00:00,568.62,574.0622,566.0,689277,573.4,72668778,568.708298,SPY,,,568.62,,,2024-10-01
2024-10-02 04:00:00+00:00,568.86,569.9,565.27,382904,567.71,38097798,568.373187,SPY,0.0004220744961485057,,568.6428571428571,,,2024-10-02
2024-10-03 04:00:00+00:00,567.82,569.8025,565.49,414433,567.36,40846466,567.342061,SPY,-0.001828217839187074,,568.5644897959183,,,2024-10-03
2024-10-04 04:00:00+00:00,572.98,573.36,568.1,438794,572.35,43005186,570.99034,SPY,0.009087386847944634,,568.9850145772594,,,2024-10-04
2024-10-07 04:00:00+00:00,567.8,571.9599,566.63,457719,571.3,49964690,569.283676,SPY,-0.009040455164229244,,568.872156046092,,,2024-10-07
2024-10-08 04:00:00+00:00,573.17,573.78,569.5299,368103,570.42,37398693,571.958492,SPY,0.009457555477280666,,569.2814745178927,,,2024-10-08
2024-10-09 04:00:00+00:00,577.14,577.71,572.55,380793,573.16,37912244,575.961585,SPY,0.0069263918209256925,,570.0299055161886,,,2024-10-09
2024-10-10 04:00:00+00:00,576.13,577.58,574.49,384802,575.77,44138060,575.914102,SPY,-0.0017500086634092415,,570.6108668955992,,,2024-10-10
2024-10-11 04:00:00+00:00,579.58,580.33,575.91,369983,576.05,42267994,579.098683,SPY,0.0059882318226789355,,571.4650700483993,,,2024-10-11
2024-10-14 04:00:00+00:00,584.32,585.27,580.73,346478,581.22,36217215,583.652755,SPY,0.008178336036440248,,572.6893490914089,,,2024-10-14
2024-10-15 04:00:00+00:00,579.78,584.9,578.545,450436,584.59,54203636,581.362965,SPY,-0.0077697152245346235,,573.3646491779414,,,2024-10-15
2024-10-16 04:00:00+00:00,582.3,582.83,578.96,327311,579.78,30725436,581.263073,SPY,0.00434647624961193,,574.2156349705183,,,2024-10-16
2024-10-17 04:00:00+00:00,582.35,586.12,582.16,350466,585.91,34393714,583.466236,SPY,8.586639189434031e-05,,574.9903364018975,,,2024-10-17
2024-10-18 04:00:00+00:00,584.59,585.39,582.58,312698,584.07,37416801,584.217609,SPY,0.0038464840731518013,,575.9045900779073,,,2024-10-18
2024-10-21 04:00:00+00:00,583.63,584.85,580.6001,386011,583.85,36439010,582.897586,SPY,-0.00164217656819321,,576.6403434038209,69.84372437376632,,2024-10-21
2024-10-22 04:00:00+00:00,583.32,584.5,580.38,333521,581.05,34183835,582.673595,SPY,-0.0005311584394221969,,577.2765011748855,68.95740023838516,,2024-10-22
2024-10-23 04:00:00+00:00,577.99,581.7086,574.415,470975,581.26,49314574,578.074711,SPY,-0.009137351710896358,,577.3444534439441,55.83723538852679,,2024-10-23
2024-10-24 04:00:00+00:00,579.24,580.06,576.57,363434,579.98,34979860,578.904205,SPY,0.0021626671741725723,,577.524981687378,57.862112443961095,,2024-10-24
2024-10-25 04:00:00+00:00,579.04,584.46,578.08,413616,581.51,47268176,581.054752,SPY,-0.00034528002209799347,,577.669269145723,57.408563922219365,,2024-10-25
2024-10-28 04:00:00+00:00,580.83,582.71,580.52,365420,582.58,30174704,581.405883,SPY,0.0030913235700471553,577.4745,577.9702911318445,60.400337190894234,-1.1681987375110219,2024-10-28
2024-10-29 04:00:00+00:00,581.77,582.907,578.43,373273,579.85,42899661,581.336518,SPY,0.0016183737065922355,578.132,578.332168166907,61.91333683167696,0.4320095182854386,2024-10-29
2024-10-30 04:00:00+00:00,580.01,583.32,579.29,389130,581.29,41435839,581.088774,SPY,-0.003025250528559398,578.6895000000001,578.4919616748206,57.484709125518854,0.18136733475364994,2024-10-30
2024-10-31 04:00:00+00:00,568.64,575.63,568.44,577902,575.56,60182451,571.335079,SPY,-0.019603110291201875,578.7305,577.5536796105519,38.38346605373017,2.408010181690524,2024-10-31
2024-11-01 04:00:00+00:00,571.04,575.55,570.62,464571,571.32,45667533,572.658516,SPY,0.004220596510973618,578.6335,576.9333291714518,42.71077312955538,0.5435549754984167,2024-11-01
